排名,学校名称,软科总得分
577,甘肃民族师范学院,79
578,山东石油化工学院,76.5
579,唐山学院,74.6
580,河北工业职业技术大学,72.7
581,邢台学院,72.5
582,昭通学院,71.4
583,沧州师范学院,71
584,广西职业师范学院,67.7
585,廊坊师范学院,67.6
586,文山学院,65.5
587,山西工程科技职业大学,65.1
588,沈阳工程学院,64.3
589,滇西应用技术大学,pv
590,河北科技工程职业技术大学,pv
591,河北石油职业技术大学,55
592,新疆政法学院,54.9
593,广西农业职业技术大学,51.4
594,山西科技学院,49.7
